time[s],ax[m/s^2],ay[m/s^2],az[m/s^2],awx[m/s^2],awy[m/s^2],awz[m/s^2],ar[rad],br[rad],gr[rad]
0,0.0314,-0.02785,-0.05272,0.0323,-0.02861,-0.05176,6.28237,-0.01413,-0.01761
0.011,0.0314,-0.02785,-0.05272,0.0323,-0.02861,-0.05176,6.28237,-0.01413,-0.01761
0.032,0.02568,-0.0413,-0.03146,0.0262,-0.04175,-0.03042,6.28233,-0.01411,-0.01766
0.053,-0.02575,-0.06353,0.02406,-0.02623,-0.06317,0.02449,6.28225,-0.01409,-0.01769
0.074,0.01727,-0.03918,-0.03655,0.01788,-0.03971,-0.03568,6.28212,-0.01407,-0.0177
0.095,-0.02322,-0.03826,-0.00841,-0.02312,-0.03835,-0.00829,6.28189,-0.01406,-0.01772
0.115,-0.00747,-0.02562,-0.01829,-0.00719,-0.02586,-0.01806,6.28148,-0.014,-0.01776
0.136,-0.00052,-0.02709,-0.00528,-0.00048,-0.02716,-0.0049,6.28118,-0.01399,-0.01775
0.158,0.00935,0.00106,-0.02129,0.00972,0.00074,-0.02113,6.28096,-0.01398,-0.01776
0.179,-0.00536,-0.00798,0.0064,-0.0055,-0.00788,0.00641,6.28066,-0.01397,-0.01778
0.2,-0.04259,-0.02575,0.01718,-0.04296,-0.02539,0.01677,6.28021,-0.01398,-0.0178
0.221,-0.00905,-0.01023,-0.02233,-0.00869,-0.01052,-0.02235,6.27995,-0.01396,-0.01779
0.241,-0.03994,0.01314,-0.01784,-0.03957,0.01301,-0.01873,6.27976,-0.01396,-0.01779
0.262,0.00384,0.00973,-0.02428,0.00431,0.00938,-0.02434,6.27962,-0.01395,-0.01778
0.283,-0.00232,-0.00338,-0.02548,-0.00189,-0.00373,-0.02547,6.27944,-0.01394,-0.01777
0.304,-0.01316,0.00599,-0.01485,-0.01288,0.00583,-0.01517,6.27942,-0.01396,-0.01778
0.325,-0.01005,0.01591,-0.02294,-0.00958,0.01562,-0.02333,6.27946,-0.01394,-0.01777
0.345,-0.03876,0.00141,0.00295,-0.0388,0.00158,0.00224,6.27951,-0.01394,-0.01776
0.366,-0.00563,-0.01021,-0.00199,-0.00563,-0.01022,-0.00194,6.27975,-0.01396,-0.01776
0.386,0.00528,0.00983,-0.01605,0.0056,0.00959,-0.01609,6.27987,-0.01396,-0.01776
0.407,-0.03609,-0.01784,0.01268,-0.03636,-0.01756,0.01228,6.28007,-0.01394,-0.01777
0.428,0.0034,-0.01235,0.00355,0.0033,-0.0123,0.00378,6.28021,-0.01394,-0.01777
0.449,-0.02368,-0.01382,0.00265,-0.02376,-0.01372,0.00242,6.2805,-0.01393,-0.0178
0.47,0.01452,-0.0283,-0.02353,0.01486,-0.02865,-0.02288,6.28068,-0.01393,-0.01779
0.491,-0.00917,-0.02574,0.00026,-0.00924,-0.02572,0.00046,6.28079,-0.01392,-0.01781
0.512,0.00368,-0.02718,-0.02264,0.00402,-0.0275,-0.02219,6.28093,-0.01391,-0.01782
0.533,0.00145,-0.01578,-0.02667,0.00189,-0.01615,-0.02642,6.28109,-0.01389,-0.01783
0.554,-0.01219,-0.03409,0.0079,-0.0124,-0.03396,0.00815,6.28115,-0.01392,-0.01783
0.575,-0.01216,-0.02365,-0.00497,-0.01212,-0.02369,-0.00486,6.28115,-0.01392,-0.01783
0.596,-0.02091,-0.03384,-0.00931,-0.02081,-0.03393,-0.00921,6.28112,-0.01394,-0.01784
0.617,-0.00907,-0.01633,-0.02218,-0.00871,-0.01662,-0.0221,6.28103,-0.01394,-0.01785
0.638,-0.00944,-0.03543,-0.00661,-0.0094,-0.0355,-0.00628,6.28093,-0.01395,-0.01786
0.658,-0.00721,-0.02417,-0.01768,-0.00695,-0.0244,-0.01747,6.28086,-0.01395,-0.01786
0.679,-0.01098,-0.02699,0.00297,-0.01109,-0.02693,0.00315,6.28078,-0.01396,-0.01786
0.7,-0.0153,-0.02384,-0.02022,-0.01499,-0.02409,-0.02016,6.28056,-0.01396,-0.01789
0.721,-0.00437,-0.01738,-0.028,-0.00391,-0.01776,-0.02783,6.28045,-0.01394,-0.01792
0.742,-0.01689,-0.01918,0.00357,-0.017,-0.01908,0.00354,6.28033,-0.01394,-0.01791
0.762,-0.01068,-0.00584,-0.01049,-0.01051,-0.00596,-0.0106,6.28025,-0.01395,-0.01791
0.783,-0.01695,-0.01853,-0.01813,-0.01668,-0.01874,-0.01817,6.2801,-0.01393,-0.0179
0.804,-0.01108,-0.01018,-0.01364,-0.01087,-0.01034,-0.01369,6.28006,-0.01393,-0.0179
0.825,-0.01116,-0.01409,-0.01379,-0.01096,-0.01425,-0.01379,6.28005,-0.01393,-0.01791
0.846,-0.00979,-0.0088,-0.01034,-0.00963,-0.00891,-0.01039,6.28001,-0.01393,-0.01791
0.867,-0.00816,-0.00953,-0.00391,-0.00811,-0.00956,-0.00392,6.28002,-0.01392,-0.01791
0.888,-0.01963,-0.00589,-0.00751,-0.01951,-0.00594,-0.00777,6.28004,-0.01388,-0.01792
0.908,0.00589,-0.02303,-0.01559,0.0061,-0.02327,-0.01516,6.28007,-0.01389,-0.01791
0.929,-0.01663,-0.01366,-0.00826,-0.01652,-0.01372,-0.00836,6.2801,-0.01388,-0.01792
0.95,-0.01107,-0.0287,-0.00586,-0.01105,-0.02875,-0.00566,6.28021,-0.01389,-0.01793
0.97,-0.01531,-0.01598,-0.02501,-0.01491,-0.01628,-0.02506,6.28028,-0.01389,-0.01792
0.991,-0.01498,-0.01753,-0.01034,-0.01484,-0.01763,-0.01037,6.28033,-0.0139,-0.01793
1.012,0.00061,-0.03542,-0.01498,0.00077,-0.03563,-0.01447,6.28037,-0.01392,-0.01793
1.033,-0.00977,-0.02487,-0.01333,-0.00959,-0.02503,-0.01316,6.28045,-0.01391,-0.01795
1.054,-0.01594,-0.03812,-0.0033,-0.01598,-0.03813,-0.00306,6.28048,-0.01393,-0.01795
1.075,-0.00806,-0.02021,-0.01782,-0.0078,-0.02044,-0.01768,6.28052,-0.01393,-0.01794
1.096,-0.01168,-0.01475,-0.00705,-0.01159,-0.01482,-0.00705,6.28052,-0.01394,-0.01795
1.117,-0.01529,-0.01349,-0.00913,-0.01516,-0.01358,-0.00922,6.28052,-0.01397,-0.01795
1.137,-0.01636,-0.03217,-0.01393,-0.01619,-0.03232,-0.01377,6.2805,-0.01398,-0.01794
1.158,-0.0067,-0.01818,-0.01273,-0.00652,-0.01834,-0.01259,6.28048,-0.01398,-0.01793
1.179,-0.02124,-0.02462,-0.00031,-0.02129,-0.02457,-0.00034,6.28044,-0.01398,-0.01793
1.2,-0.01496,-0.00669,-0.00001,-0.01497,-0.00666,-0.00019,6.2804,-0.01397,-0.01792
1.22,-0.00229,-0.00277,-0.00421,-0.00222,-0.00282,-0.00421,6.28038,-0.01397,-0.01791
1.242,0.00619,0.00083,-0.00136,0.00621,0.00079,-0.00126,6.28035,-0.01397,-0.01791
1.263,-0.01073,-0.02149,-0.00256,-0.01075,-0.0215,-0.00245,6.2803,-0.01397,-0.01791
1.285,-0.00586,-0.00734,-0.00869,-0.00573,-0.00745,-0.00869,6.28027,-0.01398,-0.0179
1.306,-0.0337,-0.01554,-0.00884,-0.03359,-0.01558,-0.00923,6.28023,-0.01398,-0.0179
1.328,-0.01321,-0.00847,-0.02141,-0.01285,-0.00873,-0.02153,6.28019,-0.01397,-0.0179
1.348,-0.01175,-0.02184,-0.01976,-0.01146,-0.02209,-0.01966,6.28015,-0.01398,-0.01792
1.369,-0.00817,-0.01853,-0.00135,-0.0082,-0.01853,-0.00124,6.28015,-0.01399,-0.01794
1.39,-0.02042,-0.00031,-0.01258,-0.02019,-0.00043,-0.01293,6.28015,-0.01401,-0.01792
1.41,-0.00125,-0.02006,-0.01691,-0.001,-0.02029,-0.01665,6.28015,-0.01401,-0.01794
1.432,-0.01862,-0.00289,-0.01048,-0.01844,-0.00298,-0.01077,6.28017,-0.014,-0.01795
1.452,-0.01162,-0.02691,-0.00958,-0.01152,-0.02701,-0.00941,6.28021,-0.01399,-0.01794
1.473,-0.01717,-0.01857,-0.00554,-0.01712,-0.0186,-0.00558,6.28021,-0.01401,-0.01796
1.494,-0.00102,-0.01238,-0.01407,-0.0008,-0.01257,-0.01391,6.28023,-0.014,-0.01797
1.515,0.00386,-0.02056,-0.01137,0.00401,-0.02073,-0.01101,6.28024,-0.014,-0.01798
1.536,-0.01733,-0.00404,-0.01675,-0.01703,-0.00422,-0.01701,6.28024,-0.01401,-0.01799
1.557,-0.00269,-0.0105,-0.0202,-0.00236,-0.01078,-0.02009,6.28024,-0.014,-0.01799
1.577,-0.01891,-0.00427,-0.00837,-0.01877,-0.00434,-0.00865,6.28025,-0.014,-0.018
1.598,0.00437,-0.01975,-0.00763,0.00445,-0.01986,-0.00727,6.28022,-0.01401,-0.01799
1.619,-0.01473,-0.01005,-0.02214,-0.01436,-0.01032,-0.02226,6.28021,-0.01402,-0.01798
1.64,-0.00767,-0.01646,-0.00329,-0.00766,-0.01648,-0.00319,6.28021,-0.01401,-0.018
1.66,-0.00994,-0.02043,-0.02109,-0.00962,-0.02069,-0.02098,6.28022,-0.01398,-0.01801
1.681,-0.02396,-0.01971,-0.01256,-0.02378,-0.01982,-0.01271,6.28021,-0.01398,-0.01804
1.702,-0.02153,-0.02688,-0.00972,-0.02143,-0.02696,-0.00973,6.28023,-0.01398,-0.01804
1.723,-0.01557,-0.02129,-0.01406,-0.01537,-0.02144,-0.01404,6.28022,-0.01396,-0.01804
1.744,-0.02986,-0.01397,-0.00553,-0.0298,-0.01396,-0.00587,6.2802,-0.01396,-0.01806
1.765,-0.04648,0.05617,-0.01182,-0.04611,0.05611,-0.01343,6.28048,-0.01391,-0.01806
1.786,-0.18723,0.67261,-0.02439,-0.18569,0.67245,-0.03711,6.28161,-0.0139,-0.01806
1.807,-0.23734,0.90354,-0.01811,-0.23782,0.90292,-0.03495,0.00093,-0.01392,-0.01801
1.828,-0.32078,1.15759,-0.04729,-0.32786,1.1545,-0.06926,0.00691,-0.01402,-0.01791
1.849,-0.38083,1.16601,-0.0268,-0.40531,1.15695,-0.05016,0.02154,-0.01427,-0.01769
1.87,-0.34398,1.1535,-0.00211,-0.38412,1.14049,-0.02486,0.03507,-0.01452,-0.01745
1.89,-0.41332,1.12365,0.04113,-0.46658,1.10323,0.01746,0.04724,-0.01471,-0.01725
1.911,-0.41889,1.16155,-0.02232,-0.48856,1.13326,-0.04682,0.0611,-0.01496,-0.01701
1.932,-0.51116,1.11037,-0.04539,-0.61872,1.05281,-0.07102,0.10015,-0.01559,-0.01631
1.953,-0.53717,1.10617,0.03002,-0.66591,1.03422,0.00386,0.11975,-0.01589,-0.01598
1.974,-0.58459,1.09529,-0.05902,-0.7391,0.99561,-0.08592,0.14854,-0.01634,-0.01544
1.994,-0.67355,1.09216,-0.03449,-0.84993,0.95987,-0.06281,0.17213,-0.01669,-0.01501
2.015,-0.76971,1.07051,-0.0414,-0.9959,0.86217,-0.07078,0.2338,-0.01755,-0.01378
2.036,-0.85958,1.02352,-0.01763,-1.09571,0.76417,-0.04729,0.26309,-0.01791,-0.01319
2.057,-0.91309,1.03632,-0.00926,-1.17395,0.72667,-0.03966,0.2941,-0.0183,-0.01253
2.078,-1.01797,1.02286,0.01661,-1.29972,0.62713,-0.01445,0.33813,-0.01879,-0.01163
2.099,-1.20612,0.97276,-0.03729,-1.49809,0.39175,-0.06821,0.42252,-0.01965,-0.0098
2.12,-1.28004,0.93976,-0.01276,-1.56417,0.27084,-0.04298,0.46156,-0.01999,-0.00893
2.141,-1.41354,0.91296,0.00084,-1.67824,0.11937,-0.02904,0.50227,-0.02033,-0.00802
2.162,-1.5027,0.858,0.0143,-1.72899,-0.06999,-0.01355,0.55919,-0.02072,-0.0067
2.183,-1.70622,0.82589,0.01233,-1.85802,-0.37554,-0.013,0.65018,-0.0212,-0.00458
2.204,-1.84059,0.79283,-0.00698,-1.90958,-0.60749,-0.02961,0.71453,-0.02141,-0.00307
2.225,-1.88614,0.75479,0.00558,-1.88348,-0.76128,-0.01419,0.76471,-0.02152,-0.00187
2.246,-2.0334,0.72255,-0.01896,-1.91854,-0.98746,-0.03584,0.8165,-0.02157,-0.00064
2.267,-2.24816,0.65551,-0.03707,-1.84952,-1.43614,-0.04574,0.9436,-0.02145,0.0024
2.287,-2.42544,0.58064,-0.01687,-1.79754,-1.72877,-0.0201,1.00075,-0.02126,0.00376
2.308,-2.56357,0.5581,-0.01492,-1.70163,-1.99698,-0.01216,1.07939,-0.02087,0.00562
2.329,-2.6655,0.53323,-0.02359,-1.597,-2.1998,-0.01575,1.14021,-0.02045,0.00703
2.35,-3.0197,0.42573,-0.00412,-1.25149,-2.78088,0.01883,1.28812,-0.01915,0.0103
2.37,-3.06558,0.40423,-0.00843,-1.05439,-2.90674,0.01995,1.35407,-0.01845,0.01169
2.392,-3.25013,0.33569,-0.00901,-0.74325,-3.18164,0.02907,1.4444,-0.01732,0.01351
2.412,-3.39087,0.30192,-0.05702,-0.49404,-3.36871,-0.01156,1.51393,-0.01631,0.01486
2.433,-3.64953,0.18565,-0.03167,0.21989,-3.64764,0.03069,1.68195,-0.01356,0.01778
2.454,-3.89406,0.12397,-0.00874,0.59584,-3.84969,0.06341,1.75638,-0.0122,0.01892
