time[s],ax[m/s^2],ay[m/s^2],az[m/s^2],awx[m/s^2],awy[m/s^2],awz[m/s^2],ar[rad],br[rad],gr[rad]
0,0.02965,-0.01701,0.08749,0.03041,-0.01724,0.08718,0.00161,0.00331,0.00844
0.015,-0.05886,-0.0117,-0.18757,-0.06036,-0.01118,-0.18712,0.00157,0.00327,0.00814
0.036,-0.06949,-0.00774,-0.27391,-0.07172,-0.00695,-0.27335,0.00157,0.00329,0.00817
0.057,-0.07612,0.02637,-0.27134,-0.07843,0.02715,-0.27061,0.00157,0.00334,0.00838
0.078,0.05683,-0.02697,0.48241,0.06109,-0.02852,0.4818,0.00155,0.00342,0.00874
0.099,-0.01615,-0.00486,-0.21134,-0.01792,-0.00418,-0.21121,0.00157,0.00333,0.00841
0.12,0.04688,-0.00294,0.33831,0.04982,-0.00401,0.33788,0.00158,0.00338,0.00869
0.141,-0.03356,0.00244,-0.19756,-0.03525,0.00305,-0.19726,0.00156,0.00334,0.00854
0.162,-0.01074,0.00026,0.01,-0.01065,0.0002,0.01009,0.00157,0.00336,0.00866
0.183,-0.0179,-0.01306,-0.19442,-0.01954,-0.01245,-0.1943,0.00157,0.00333,0.00854
0.204,0.00217,-0.00665,0.07509,0.00283,-0.0069,0.07505,0.00156,0.00336,0.00864
0.225,-0.00573,-0.00891,-0.00616,-0.00577,-0.0089,-0.00615,0.00158,0.00335,0.00862
0.246,0.01391,-0.01676,0.05833,0.01444,-0.01693,0.05815,0.00159,0.00334,0.00862
0.267,0.00565,-0.01257,-0.02039,0.00549,-0.0125,-0.02047,0.00159,0.0033,0.00859
0.288,0.02265,-0.01231,0.04217,0.02304,-0.01241,0.04193,0.0016,0.00331,0.00866
0.309,0.01521,-0.01709,0.03678,0.01555,-0.01719,0.03659,0.0016,0.00334,0.00865
0.33,0.01287,-0.01112,-0.00676,0.01283,-0.01108,-0.00691,0.00162,0.00333,0.00865
0.351,0.00459,0.00054,-0.04941,0.00416,0.00071,-0.04944,0.00163,0.00333,0.00865
0.371,0.00731,0.01431,0.00012,0.00728,0.01432,0.00011,0.00162,0.00333,0.00865
0.392,-0.00022,0.00325,-0.0313,-0.0005,0.00335,-0.03129,0.00162,0.00333,0.00863
0.412,0.00359,0.01404,-0.04597,0.00318,0.0142,-0.04595,0.00161,0.00331,0.00862
0.433,-0.00688,0.01079,-0.01185,-0.007,0.01082,-0.01176,0.00162,0.00331,0.00864
0.454,-0.00013,-0.00502,-0.01245,-0.00022,-0.00498,-0.01246,0.00163,0.0033,0.00864
0.475,-0.00385,-0.00303,-0.0114,-0.00394,-0.003,-0.01138,0.00161,0.00333,0.00863
0.496,-0.00302,-0.02129,-0.00721,-0.00305,-0.02127,-0.00726,0.0016,0.00336,0.00863
0.517,0.00309,-0.00129,-0.01888,0.00292,-0.00122,-0.01891,0.00161,0.00337,0.00862
0.538,0.01843,0.00229,0.00925,0.0185,0.00229,0.0091,0.00161,0.00337,0.00862
0.558,0.00331,-0.00743,-0.01903,0.00316,-0.00737,-0.01909,0.00162,0.00335,0.00861
0.579,0.00874,0.01066,-0.01933,0.00856,0.01074,-0.01937,0.00163,0.00335,0.00864
0.6,0.00503,0.01227,0.00685,0.00507,0.01226,0.00685,0.00163,0.00336,0.00862
0.621,0.01371,0.00667,0.00581,0.01374,0.00667,0.00571,0.00165,0.00338,0.00863
0.642,0.00099,0.00112,-0.00511,0.00094,0.00114,-0.00512,0.00166,0.00341,0.00863
0.663,0.00123,-0.01952,-0.03579,0.00096,-0.01939,-0.03587,0.00166,0.00342,0.00861
0.684,0.007,-0.00955,-0.00302,0.00699,-0.00953,-0.00311,0.00162,0.00345,0.00862
0.705,-0.0277,-0.00684,-0.01335,-0.0278,-0.00684,-0.01313,0.00162,0.00343,0.00857
0.725,-0.01887,0.00623,-0.00213,-0.0189,0.00621,-0.00194,0.00161,0.00342,0.00857
