time[s],ax[m/s^2],ay[m/s^2],az[m/s^2],awx[m/s^2],awy[m/s^2],awz[m/s^2],ar[rad],br[rad],gr[rad]
0,-0.04009,-0.08264,0.01152,-0.03969,-0.083,0.01026,0.00627,0.01018,-0.01047
0.014,-0.0282,-0.01027,-0.00598,-0.02807,-0.01038,-0.00638,0.00627,0.01031,-0.01044
0.035,-0.01819,0.00232,0.00227,-0.01822,0.00218,0.0021,0.00625,0.01046,-0.01044
0.056,-0.00978,-0.00709,-0.01971,-0.00953,-0.00694,-0.01989,0.00625,0.01064,-0.01043
0.077,-0.04378,-0.05413,-0.00906,-0.04334,-0.0543,-0.01011,0.00624,0.01083,-0.01049
0.098,-0.04594,-0.04405,-0.03388,-0.04531,-0.04396,-0.03484,0.00623,0.01092,-0.01064
0.119,-0.01866,-0.047,-0.05272,-0.0178,-0.04653,-0.05342,0.0062,0.0109,-0.0108
0.14,-0.02918,0.02312,-0.14763,-0.02772,0.02449,-0.14769,0.00619,0.01037,-0.01094
0.161,-0.03662,-0.054,-0.01863,-0.03608,-0.05405,-0.01951,0.00613,0.00885,-0.01095
0.181,-0.04921,-0.12285,0.02038,-0.04868,-0.12331,0.01882,0.00612,0.0083,-0.01098
0.202,-0.05893,-0.14177,0.03323,-0.05842,-0.14239,0.03144,0.00613,0.008,-0.011
0.223,-0.04759,-0.03485,-0.00029,-0.04737,-0.03514,-0.00109,0.00615,0.00796,-0.011
0.244,0.0175,0.03407,-0.00209,0.01731,0.03419,-0.00162,0.00614,0.00798,-0.01099
0.265,-0.0188,-0.08424,0.00524,-0.01834,-0.08439,0.00437,0.00615,0.00798,-0.011
0.285,-0.02308,-0.13577,-0.01825,-0.02204,-0.13576,-0.01958,0.00617,0.00795,-0.01101
0.306,-0.0438,-0.09444,-0.00523,-0.04315,-0.09466,-0.00646,0.00619,0.00795,-0.011
0.327,-0.06724,-0.00858,-0.0166,-0.067,-0.00886,-0.01741,0.00617,0.00797,-0.01099
0.348,-0.05185,-0.0254,-0.02169,-0.05145,-0.02554,-0.02246,0.00616,0.00796,-0.01102
0.369,0.00241,-0.03665,0.006,0.00257,-0.03668,0.00573,0.00619,0.00793,-0.01106
0.39,0.03306,-0.05977,0.00839,0.03333,-0.05964,0.00828,0.00621,0.00789,-0.01108
0.411,-0.00599,-0.0735,-0.0163,-0.00535,-0.0734,-0.01695,0.00621,0.00788,-0.01106
0.432,-0.03571,-0.07468,-0.00838,-0.03515,-0.07482,-0.00936,0.0062,0.00786,-0.01106
0.452,-0.12769,0.0327,-0.00089,-0.12787,0.03193,-0.00204,0.00619,0.00791,-0.01105
0.473,-0.1524,0.06294,-0.02588,-0.15249,0.06222,-0.02707,0.00616,0.00791,-0.01108
0.494,-0.00146,-0.12556,-0.02378,-0.00042,-0.12538,-0.02478,0.00614,0.00784,-0.01113
0.515,0.12455,-0.11049,0.00959,0.12511,-0.10981,0.01011,0.00613,0.00783,-0.01113
0.535,0.06356,-0.00299,0.00031,0.06357,-0.00261,0.00099,0.00612,0.00786,-0.0111
0.556,0.01123,0.02945,-0.01137,0.01117,0.02961,-0.01101,0.0061,0.00788,-0.01106
0.576,-0.11615,0.00911,-0.02484,-0.11593,0.00861,-0.02604,0.00609,0.00787,-0.01102
0.597,-0.14674,-0.07249,0.00285,-0.14632,-0.0734,0.00065,0.00614,0.00783,-0.01106
0.618,-0.02476,-0.09128,-0.00688,-0.02412,-0.09137,-0.00787,0.00616,0.00783,-0.0111
0.639,0.05955,-0.05274,0.0042,0.05983,-0.05241,0.00445,0.00616,0.00785,-0.01114
0.66,0.04128,-0.06099,-0.04904,0.04221,-0.06035,-0.04906,0.00614,0.00791,-0.01131
0.681,-0.08742,0.00113,0.01244,-0.08756,0.0005,0.01147,0.00615,0.00786,-0.01119
0.702,-0.12235,-0.03422,-0.0112,-0.122,-0.03487,-0.01284,0.00615,0.00787,-0.01122
0.722,-0.10039,-0.07428,0.00377,-0.09997,-0.07491,0.00205,0.00612,0.00788,-0.01127
0.743,-0.06268,-0.0206,-0.00281,-0.06251,-0.02095,-0.00368,0.0061,0.00788,-0.0113
0.764,0.05025,0.06716,-0.01583,0.05002,0.06758,-0.01473,0.00602,0.00795,-0.01125
0.785,-0.02717,-0.28875,0.00002,-0.02542,-0.28889,-0.00259,0.00603,0.00799,-0.01115
0.806,-0.09244,-0.34139,-0.01988,-0.09014,-0.34176,-0.02364,0.00607,0.00803,-0.01113
0.826,-0.11635,-0.12554,-0.00056,-0.11556,-0.12623,-0.00288,0.00612,0.00821,-0.01116
0.847,0.02006,0.15897,-0.05575,0.01972,0.15954,-0.05422,0.0061,0.00814,-0.0114
0.867,0.06178,0.16839,-0.05262,0.06135,0.16916,-0.05058,0.0061,0.00784,-0.01152
0.888,0.02326,0.07036,-0.00999,0.02294,0.07057,-0.00919,0.00608,0.0074,-0.01168
0.909,0.33059,-0.08377,0.02501,0.33066,-0.08243,0.02837,0.00464,0.00676,-0.0119
0.93,0.25272,-0.20934,0.0017,0.25188,-0.21033,0.00324,6.27936,0.00715,-0.01199
0.951,-0.43321,-0.25236,0.04708,-0.43647,-0.24793,0.03996,6.27227,0.0078,-0.01189
0.972,-0.71893,-0.01974,0.08887,-0.72012,-0.01119,0.08033,6.27034,0.0087,-0.01163
0.993,-0.03104,0.25739,-0.16995,-0.02576,0.25932,-0.16789,6.27037,0.00935,-0.01154
1.014,0.0087,-0.11265,-0.03262,0.00764,-0.11246,-0.03354,6.27036,0.00914,-0.01144
1.034,-0.04357,-0.25272,0.00537,-0.04687,-0.25217,0.00262,6.27033,0.00889,-0.01142
1.055,-0.09809,-0.13714,-0.00482,-0.09979,-0.13581,-0.00715,6.27032,0.00884,-0.01139
1.076,-0.07713,-0.03211,-0.00048,-0.07753,-0.0311,-0.00164,6.27031,0.00883,-0.01137
1.097,0.01805,0.08445,-0.00093,0.01914,0.08421,0.00001,6.27035,0.00872,-0.0114
1.117,0.02372,0.01111,-0.00155,0.02388,0.01081,-0.00118,6.27037,0.00859,-0.01138
1.139,0.00677,-0.15841,-0.01908,0.00497,-0.15832,-0.02032,6.27047,0.00835,-0.01133
1.16,-0.02131,-0.18815,-0.00698,-0.02361,-0.1878,-0.00876,6.27048,0.00821,-0.01128
1.18,-0.0794,0.01725,0.01068,-0.07929,0.01817,0.00993,6.27052,0.0083,-0.01119
1.201,-0.05171,0.09784,-0.00532,-0.05041,0.09853,-0.00508,6.27058,0.00841,-0.01121
1.221,-0.01044,0.04899,-0.01954,-0.00961,0.04928,-0.01924,6.27076,0.00845,-0.0112
1.243,-0.15137,-0.08642,-0.01117,-0.15217,-0.08464,-0.01358,6.27217,0.0084,-0.01115
1.264,0.20594,-0.10581,0.0147,0.20498,-0.10746,0.01614,6.27585,0.00816,-0.01116
1.284,0.11528,-0.04756,0.00887,0.11483,-0.04848,0.00977,6.2759,0.00819,-0.01119
1.305,-0.06449,0.05022,0.00095,-0.06413,0.05069,0.00065,6.27592,0.00831,-0.0112
1.326,-0.02941,0.03586,-0.00876,-0.02905,0.03614,-0.00878,6.27595,0.0085,-0.01121
1.347,-0.01048,-0.10096,-0.01262,-0.01107,-0.10077,-0.01362,6.27594,0.00881,-0.01123
1.367,-0.016,-0.15133,-0.01052,-0.01697,-0.15111,-0.01205,6.27593,0.00893,-0.0112
1.389,-0.0388,-0.11331,-0.00408,-0.03957,-0.11298,-0.00553,6.27591,0.00896,-0.01119
1.41,-0.05309,-0.0115,0.00909,-0.05327,-0.01119,0.00839,6.2759,0.00898,-0.0112
1.43,-0.03778,0.06162,-0.00721,-0.03725,0.06196,-0.00707,6.2759,0.00911,-0.01121
1.451,-0.01337,-0.06494,-0.02247,-0.01359,-0.06463,-0.02321,6.2759,0.00911,-0.01119
1.472,0.00123,-0.14476,-0.00722,0.00026,-0.1447,-0.00851,6.27591,0.00907,-0.01117
1.493,-0.01102,-0.13766,0.00625,-0.01209,-0.13763,0.00488,6.27589,0.00903,-0.01113
1.513,-0.06442,0.0574,-0.03732,-0.06358,0.0582,-0.03753,6.2759,0.00882,-0.01109
1.534,-0.06776,0.04109,0.00531,-0.06751,0.04155,0.00492,6.27591,0.00867,-0.01112
1.555,-0.03086,-0.01254,0.0122,-0.03109,-0.01242,0.01175,6.27593,0.00865,-0.0112
1.576,-0.02123,-0.10281,0.00248,-0.02199,-0.10267,0.00135,6.27604,0.00871,-0.01117
1.597,-0.03556,-0.06204,-0.03406,-0.03545,-0.06159,-0.03498,6.27878,0.00861,-0.011
1.618,-0.00056,-0.02585,-0.00563,-0.00056,-0.0258,-0.00586,6.28052,0.00856,-0.01103
1.639,-0.08713,-0.02667,-0.01565,-0.087,-0.02639,-0.01684,6.28154,0.00846,-0.01119
1.66,0.04309,0.03177,0.00247,0.0431,0.03168,0.00322,6.28165,0.00833,-0.01134
1.68,-0.02186,-0.06996,-0.01638,-0.02178,-0.06979,-0.01722,6.28165,0.00851,-0.01125
1.701,-0.00645,-0.10767,-0.0276,-0.0063,-0.10741,-0.0286,6.28164,0.00861,-0.01123
1.722,-0.03381,-0.0633,0.00472,-0.03396,-0.06328,0.0038,6.28161,0.00857,-0.01121
1.743,-0.01512,-0.01371,-0.01908,-0.01492,-0.01352,-0.01937,6.2816,0.00849,-0.0112
1.763,-0.05208,0.00087,-0.01161,-0.05195,0.00105,-0.01218,6.28162,0.00839,-0.01122
1.784,-0.0308,-0.04664,-0.0167,-0.03069,-0.04645,-0.01743,6.28163,0.00834,-0.0112
1.805,-0.0106,-0.11603,-0.01477,-0.01061,-0.11589,-0.01584,6.28164,0.00823,-0.0112
1.826,-0.00278,-0.08577,-0.00564,-0.00285,-0.08571,-0.00638,6.28164,0.00818,-0.01118
1.847,-0.02913,0.02613,-0.03066,-0.02874,0.02642,-0.03077,6.2816,0.00789,-0.01116
1.867,-0.05263,-0.00403,0.01033,-0.05275,-0.00402,0.00972,6.28158,0.00781,-0.01113
1.888,-0.0481,-0.06868,-0.00283,-0.04818,-0.06857,-0.00391,6.28159,0.0079,-0.01108
1.91,-0.03934,-0.0903,-0.03201,-0.03912,-0.08998,-0.03316,6.2816,0.00794,-0.01106
1.93,-0.00816,-0.03699,0.00942,-0.00832,-0.03705,0.00904,6.28157,0.00792,-0.01092
1.951,-0.0214,-0.00769,0.00987,-0.02152,-0.00773,0.00958,6.28155,0.008,-0.01086
1.972,-0.04353,-0.00027,-0.01378,-0.04338,-0.00009,-0.01425,6.28154,0.00808,-0.01074
1.993,-0.05469,-0.01059,-0.00751,-0.05462,-0.01044,-0.00818,6.28154,0.00804,-0.0106
2.013,-0.03803,-0.07553,0.00055,-0.03816,-0.07547,-0.00044,6.28156,0.00782,-0.01058
2.034,-0.01016,-0.07254,0.00521,-0.01034,-0.07256,0.00453,6.28156,0.00782,-0.01076
